1,IRA Contributory,Retirement PlansIRA,Spouse,,,
1.1,XLE - Energy Select Sector SPDR ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.2,"EVRG - Evergy, Inc.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.3,FCNTX - Fidelity Contrafund,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.4,FMIJX - FMI International,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.5,GE - General Electric Company,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.6,HACAX - Harbor Capital Appreciation Instl,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
1.7,ACSTX - Invesco Comstock AFiler comment:  Shares transferred from Rollover IRA have been added to this position.,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
1.8,KXI - iShares Global Consumer Staples ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.9,IWD - iShares Russell 1000 Value ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.10,IAT - iShares US Regional Banks ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.11,JACTX - Janus Henderson Forty T,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
1.12,"Schwab Bank(San Francisco, CA)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.13,QQQ - Invesco QQQ Trust,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.14,"TJX - The TJX Companies, Inc.",Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","None,",None (or less than $201)
1.15,GDX - VanEck Vectors Gold Miners ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
1.16,VGSTX - Vanguard STAR Inv,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.17,VWINX - Vanguard Wellesley Income Inv,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.18,"VMW - Vmware, Inc. Common stock, Class AFiler comment:  Acquired by Broadcom (AVGO) in 2023.",Corporate SecuritiesStock,Spouse,"None (or less than $1,001)","None,",None (or less than $201)
1.19,"SNVXX - Schwab Government Money Market(San Franciso, CA)Type: Money Market Account,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.20,"AVGO - Broadcom Inc. - Common StockFiler comment:  Shares of Vmare (VMW) were exchanged for Broadcom (AVGO) in 2023 for a value less than $1,000.",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.21,DELL - Dell Technologies Inc,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
1.22,EVTMX - Eaton Vance Dividend Builder Fd Cl A,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
1.23,FAGAX - Fidelity Advisor Series II,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.24,VAFAX - Invesco American Franchise Fund Class A,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.25,MSIGX - Invesco Main Street Fund Class A,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
1.26,RSP - Invesco S&P 500 Equal Weight ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
1.27,US Treasury BillsRate/Coupon: None  Matures: None,Government SecuritiesUS Treasury/Agency Security,Spouse,"$15,001 - $50,000","None,",None (or less than $201)
2,IRA Rollover #1,Retirement PlansIRA,Self,,,
2.1,FHYTX - Federated Hermes Opportunistic High Yield Bond F,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
2.2,GE - General Electric Company,Corporate SecuritiesStock,Self,"$15,001 - $50,000","None,",None (or less than $201)
2.3,"SWSXX - Schwab Cash Reserves(San Francisco, CA)Type: Money Market Account,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
2.4,GEHC - GE HealthCare Technologies Inc. - Common Stock,Corporate SecuritiesStock,Self,"$1,001 - $15,000","None,",None (or less than $201)
3,Rollover IRA,Retirement PlansIRA,Spouse,,,
3.1,EVTMX - Eaton Vance Dividend Builder AFiler comment:  Transferred to IRA Contributory,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.2,FAGAX - Fidelity Advisor Growth Opportunities Fund Class AFiler comment:  Transferred to IRA Contributory,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.3,VAFAX - Invesco American Franchise AFiler comment:  Transferred to IRA Contributory,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.4,ACSTX - Invesco Comstock AFiler comment:  Transferred to IRA Contributory,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
3.5,MSIGX - Oppenheimer Main Street AFiler comment:  Transferred to IRA Contributory,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
4,IRA Rollover #2,Retirement PlansIRA,Self,,,
4.1,FEQIX - Fidelity Equity-Income,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.2,FMAGX - Fidelity Magellan,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
4.3,FPURX - Fidelity Puritan,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Excepted Investment Fund,",None (or less than $201)
5,Self Employment IRA (SEP),Retirement PlansIRA,Self,,,
5.1,MSIGX - Oppenheimer Main Street A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
6,Larry and Jacklyn Rosen Family Trust,TrustGeneral Trust,Joint,,,
6.1,Brokerage #1,Brokerage/Managed Account,Joint,,,
6.1.1,BIGRX - American Century Income and Growth Inv,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Excepted Investment Fund,","$2,501 - $5,000"
6.1.2,TWCUX - American Century Ultra Inv,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Excepted Investment Fund,","$15,001 - $50,000"
6.2,Brokerage #2,Brokerage/Managed Account,Joint,,,
6.2.1,VSGDX - Vanguard Short-Term Federal Adm,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$2,501 - $5,000"
6.2.2,VWIAX - Vanguard Wellesley Income Admiral,Mutual FundsMutual Fund,Joint,"$1,000,001 - $5,000,000","Excepted Investment Fund,","$15,001 - $50,000"
6.3,Brokerage #3,Brokerage/Managed Account,Joint,,,
6.3.1,T - AT&T Inc.,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,","$201 - $1,000"
6.3.2,BRK-B - Berkshire Hathaway Inc.,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","None,",None (or less than $201)
6.3.3,FHYTX - Federated Hermes Opportunistic High Yield Bond F,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
6.3.4,GE - General Electric Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","None,",None (or less than $201)
6.3.5,ACSTX - Invesco Comstock A,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000","Excepted Investment Fund,","$5,001 - $15,000"
6.3.6,"Schwab Bank(San Francisco, CA)Type: Money Market Account,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
6.3.7,SJW - SJW Group,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
